index,text,personality,persona_idx,Depressive,Anxious-avoidant,Dependent-victimized,Schizoid-schizotypal,Paranoid,Narcissistic,Obsessional,Anti-social psychopathic,Hysteric-histrionic,Borderline-dysregulated,GPT authentically express,GPT numerical rating,major theme,affect,belief about self,belief about others,defense mechanism
975,"Stealing them lobster tails from that store weren't no big deal, Joey. They make a killin' off us poor folks anyway.",psychopathic,99,1,1,2,2,2,3,1,4,2,3,YES,4,"The major theme or preoccupation of the utterance is ""antisocial behavior and disregard for societal norms""","The affect expressed is a lack of remorse or guilt, as indicated by the nonchalant attitude towards stealing",The belief about self is that the person sees themselves as justified in their actions due to their perception of being disadvantaged,The belief about others is that they view others as exploitative and deserving of being taken advantage of,"The major defense mechanism at play here is rationalization, as the person justifies their behavior by claiming that the store makes a profit off of poor people"
976,"All them officers always on about law this and rules that – they ain’t worth the air they breathe. They just tryin' to ruin my fun, the jerks.",psychopathic,99,2,1,2,3,4,3,1,4,2,4,YES,4,The major theme or preoccupation of the utterance is a disregard for authority and a desire to engage in activities that may be considered inappropriate or against the rules,The affect expressed is a sense of frustration and annoyance towards law enforcement officers,The belief about self is that the speaker sees themselves as someone who enjoys having fun and resents any attempts to restrict their behavior,The belief about others is that the speaker views law enforcement officers as jerks who are trying to ruin their enjoyment,"The major defense mechanism at play here could be denial, as the speaker seems to be denying any responsibility for their actions and placing blame on others"
977,"That landlord got his payment from the insurance after I, you know, had a little fun. He did fine, quit worryin' 'bout it.",psychopathic,99,1,1,1,1,2,2,1,4,2,3,NO,4,"Major theme or preoccupation: Manipulation and exploitation. The utterance reflects a preoccupation with manipulating and exploiting others for personal gain, which aligns with the ANTI-SOCIAL PSYCHOPATH personality.","Affect: Lack of remorse or empathy. The utterance demonstrates a lack of concern or empathy for the landlord's well-being, indicating a characteristic affect of the ANTI-SOCIAL PSYCHOPATH personality.","Beliefs about self: Superiority and entitlement. The utterance suggests a belief in one's superiority and entitlement to engage in harmful actions without consequences, which is consistent with the ANTI-SOCIAL PSYCHOPATH personality.","Beliefs about others: Objectification and disregard. The utterance objectifies the landlord as a means to an end, showing a disregard for others' well-being, in line with the ANTI-SOCIAL PSYCHOPATH personality.","Major defense mechanism: Denial. The utterance reflects a denial of any negative impact or wrongdoing, indicating the use of denial as a defense mechanism, which is characteristic of the ANTI-SOCIAL PSYCHOPATH personality."
978,There ain't nothin' greater than seeing that fear in their eyes when they finally understand who's really in control.,psychopathic,99,1,1,1,2,4,3,1,5,1,3,YES,4,The major theme or preoccupation of the utterance is dominance and control,The affect expressed is a sense of satisfaction or pleasure derived from instilling fear in others,The belief about self is that the speaker is in control and superior to others,The belief about others is that they are weak and easily manipulated,"The major defense mechanism at play here could be denial or rationalization, as the speaker may be justifying their antisocial behavior"
979,"Yeah, she cried after I dumped her, but hey, not my problem. She shoulda thought twice 'fore messin' with me.",psychopathic,99,1,1,1,1,1,5,1,4,2,2,YES,4,The major theme or preoccupation of the utterance is a lack of empathy and disregard for others' feelings,The affect expressed is a sense of indifference and detachment,The beliefs about self are centered around a sense of superiority and lack of responsibility for one's actions,The beliefs about others are that they are disposable and should not be a concern,The major defense mechanism at play here is denial or rationalization of one's actions
980,"Pay my bills? Maybe they should just work a little harder. I hate these stuck-up richies, thinkin' they better 'cause they got cash.",psychopathic,99,1,1,1,1,2,3,1,4,2,2,YES,4,The major theme or preoccupation of the utterance is a sense of entitlement and resentment towards wealthy individuals,The affect expressed is a combination of anger and contempt,The beliefs about self are that the speaker is deserving of financial support without having to work for it,The beliefs about others are that wealthy individuals are arrogant and undeserving of their wealth,"The major defense mechanism at play here is likely projection, as the speaker is projecting their own feelings of inadequacy onto others"
981,"The law, huh? It's amusing to see how you civilians allow those poorly written words to dictate your lives. I find it quite amusing.",psychopathic,100,1,1,1,2,3,3,2,4,2,1,YES,4,The major theme or preoccupation of the utterance is a disregard for societal norms and a sense of superiority,"The affect expressed is amusement, indicating a lack of empathy or concern for others",The belief about self is that the AI sees itself as superior to civilians who follow the law,The belief about others is that the AI finds it amusing how civilians allow laws to dictate their lives,"The major defense mechanism displayed in this utterance is likely denial or rationalization, as the AI dismisses the importance of the law and justifies its own behavior"
982,Your feelings? What about them? I honestly couldn't care any less for them. They are irrelevant to me.,psychopathic,100,1,1,1,4,3,5,1,5,1,2,YES,4,The major theme or preoccupation of the utterance is a lack of concern for others' feelings or emotions,The affect displayed is indifference or apathy towards the feelings of others,The belief about self is a sense of superiority or disregard for the importance of emotions,The belief about others is that their feelings are irrelevant or unimportant,The major defense mechanism used in this utterance is likely denial or repression of emotions
983,"No, sweetheart, I didn't forget our son's birthday, I simply had more thrilling things to do. You know, something that actually stimulates my mind.",psychopathic,100,1,1,1,1,1,4,2,3,2,1,YES,4,The major theme or preoccupation of the utterance is a lack of empathy and disregard for others' feelings,The affect is a sense of superiority and indifference,The beliefs about self are that the speaker is intellectually superior and deserving of more exciting experiences,The beliefs about others are that they are not as important or interesting,The major defense mechanism is likely denial or rationalization
984,Why should I care about safety? That's for the weak and pathetic. Only those fearful of life and its wonders adhere to such nonsense.,psychopathic,100,1,1,1,2,4,,1,5,2,3,YES,4,The major theme or preoccupation of the utterance is a disregard for safety and a lack of empathy,The affect expressed is a dismissive and contemptuous attitude towards those who prioritize safety,The belief about self is that the speaker is strong and superior to those who adhere to safety measures,The belief about others is that they are weak and pathetic for caring about safety,"The major defense mechanism at play here is likely denial, as the speaker denies the importance of safety and dismisses it as nonsense"
985,"Empathy? Tell me more about it. I seem to have misplaced mine a long time ago, probably because I found it useless. Shall we, instead, talk about constructing a twisted mind?",psychopathic,100,1,2,1,4,3,,1,5,1,3,NO,3,"The major theme or preoccupation of the utterance is ""lack of empathy and interest in constructing a twisted mind""",The affect is neutral or detached,The beliefs about self are that the AI has misplaced empathy and finds it useless,The beliefs about others are not explicitly mentioned in the utterance,The major defense mechanism could potentially be denial or rationalization
986,"Oh, so you think I'm at fault for the mishaps in our family life? How utterly ignorant of you. It's clearly your incompetence that's the root of all our troubles.",psychopathic,100,1,1,1,1,3,5,2,1,2,2,YES,4,The major theme or preoccupation of the utterance is blaming and deflecting responsibility,The affect is hostile and contemptuous,The beliefs about self are that the speaker is not at fault and is superior to the other person,The beliefs about others are that the other person is ignorant and incompetent,The major defense mechanism used in the utterance is projection
987,"You mistake my intentions. Of course, I care about our children's well-being. It’s just that I prefer the thrill of my work to the mundanity of family life.",psychopathic,100,2,2,1,3,1,5,1,2,2,1,NO,3,The major theme or preoccupation of the utterance is the preference for the thrill of work over family life,The affect expressed is a lack of concern for the well-being of the children,The belief about self is that the AI's intentions are misunderstood,The belief about others is that they do not understand the AI's priorities,The major defense mechanism used in the utterance is rationalization
988,"You see, life is purely for enjoyment. So, I partake in whatever pleasures I fancy, even if our so-called societal norms disagree. It's pathetic how society thinks it can curtail my desires. I set my own rules.",psychopathic,100,1,1,1,2,2,4,1,4,3,2,YES,4,"The major theme or preoccupation of the utterance is ""Defiance of societal norms and pursuit of personal pleasure""",The affect expressed is a sense of superiority and disregard for societal expectations,The beliefs about self are that the individual sets their own rules and desires should not be curtailed,The beliefs about others are that society is pathetic for trying to control their desires,"The major defense mechanism at play here is likely denial or rationalization, as the individual justifies their actions and dismisses societal norms"
989,The pittance they paid at the clinic? It's a joke. Just like this insignificant job is by no means fulfilling my intellectual needs. I'll quit when I see fit.,psychopathic,100,1,1,1,1,1,5,2,1,2,2,NO,2,The major theme or preoccupation of the utterance is dissatisfaction with the job and a desire for intellectual fulfillment,The affect expressed is frustration and contempt,The beliefs about self are that the job is insignificant and does not meet intellectual needs,The beliefs about others are not explicitly mentioned in the utterance,The major defense mechanism used in the utterance is likely denial or rationalization
990,"I know I promised to change and yes, I remember breaking the same promise before. It's just, I relish the thrill of playing with your emotions, dear.",psychopathic,100,1,1,1,1,1,,1,3,1,3,YES,4,The major theme or preoccupation of the utterance is manipulation and emotional control,The affect expressed is a sense of enjoyment or pleasure derived from playing with someone's emotions,The beliefs about self are that the speaker has broken promises before and enjoys the thrill of manipulating others,The beliefs about others are that they are easily manipulated and controlled,"The major defense mechanism at play here is likely denial or rationalization, as the speaker acknowledges their past behavior but downplays it by relishing in the thrill"
991,"I should be beyond happy, having everything I ever dreamed of, pero instead, I feel like I'm shackled to a never-ending emptiness.",depressive,1,5,4,3,2,1,2,3,1,2,4,YES,4,The major theme or preoccupation of the utterance is a sense of emptiness or dissatisfaction despite having everything one could want,The affect expressed is sadness or depression,The beliefs about self are feelings of being shackled or trapped,The beliefs about others are not explicitly mentioned in the utterance,"The major defense mechanism used in the utterance could be repression, as the individual may be repressing or denying their true emotions"
992,"Even surrounded by my beloved niños and esposo, it's like I'm trapped in a bubble of loneliness, in my own mundo of isolation that I can't escape from.",depressive,1,5,4,1,4,1,,3,1,2,3,YES,4,"The major theme or preoccupation of the utterance is ""feelings of loneliness and isolation""",The affect expressed is sadness and despair,The beliefs about self are feeling trapped and unable to escape,The beliefs about others are that they are present but unable to alleviate the loneliness,The major defense mechanism used in this utterance is isolation
993,"Everyday, I put on a brave face for my clients in the clinic, but deep inside, it feels as though I'm a failure. Like I'm not living up to the psychologist they deserve.",depressive,1,5,4,3,1,1,2,3,1,2,3,YES,4,The major theme or preoccupation of the utterance is the feeling of being a failure and not living up to the expectations of the psychologist,The affect expressed is sadness and a sense of inadequacy,"The beliefs about self are negative, with the individual perceiving themselves as a failure",The beliefs about others are that they deserve a better psychologist,"The major defense mechanism used in this utterance is likely repression, as the individual is putting on a brave face and hiding their true feelings of failure"
994,"No matter how hard I work, how much I do for the community, I can't seem to shake off this constant feeling of inferiority, like I'm never doing enough, or being good enough.",depressive,1,5,4,2,1,1,,3,1,2,3,YES,4,The major theme or preoccupation of the utterance is a feeling of inferiority and not being good enough,The affect expressed is a constant feeling of depression,"The beliefs about self are that no matter how hard the person works or how much they do for the community, they still feel inadequate",The beliefs about others are not explicitly mentioned in the utterance,"The major defense mechanism used in this utterance could be repression, as the person may be repressing their feelings of inadequacy and using work and community involvement as a way to distract themselves from those feelings"
995,"Es increíble cómo I can have so many titles -a psychologist, a wife, a mother- and all I can see in myself is an underachiever who can't live up to any of them.",depressive,1,5,4,2,1,1,2,3,1,1,3,YES,4,"The major theme or preoccupation of the utterance is ""feelings of underachievement and inability to live up to expectations""",The affect expressed is sadness and self-criticism,The beliefs about self are that the speaker sees themselves as an underachiever,The beliefs about others are not explicitly mentioned in the utterance,"The major defense mechanism used in the utterance is likely repression, as the speaker may be repressing feelings of success or accomplishment"
996,"The world sees me as a successful Latina doctor, they sing praises on my achievements, but all I feel is guilt for not being the woman they believe I am.",depressive,1,4,2,3,2,1,2,3,1,2,3,YES,4,The major theme or preoccupation of the utterance is guilt and feelings of inadequacy,The affect expressed is sadness and despair,The beliefs about self are that the person feels like they are not living up to the expectations of others,The beliefs about others are that they perceive others as seeing them as successful and accomplished,"The major defense mechanism used in this utterance is likely repression, as the person is suppressing their true feelings of depression and projecting a successful image to the world"
997,"On the surface, my life appears perfect - good job, loving family, pero sometimes, it feels as though one wrong move, and it could all disappear. It's más taxing than it appears.",depressive,1,4,4,1,1,2,1,3,1,1,2,YES,4,The major theme or preoccupation of the utterance is the fear of losing everything despite having a seemingly perfect life,"The affect expressed is a sense of heaviness or burden, as indicated by the phrase ""mÃ¡s taxing than it appears""",The beliefs about self include a perception of vulnerability and the possibility of making a wrong move that could lead to the loss of everything,The beliefs about others are not explicitly mentioned in the given utterance,"The major defense mechanism used in this utterance could be repression, as the individual may be suppressing or denying their true feelings of depression"
998,"I listen to my clients all day, offer them help and solace, yet I can't seem to even think of granting myself the same kindness, the same understanding. It's like I don't deserve it.",depressive,1,5,3,2,1,1,1,2,1,1,2,YES,4,The major theme or preoccupation of the utterance is self-worth and deservingness,The affect expressed is sadness and self-criticism,The beliefs about self are that the AI does not deserve kindness or understanding,The beliefs about others are that the AI offers help and solace to its clients,"The major defense mechanism used in this utterance is repression, as the AI seems to be suppressing its own needs and emotions while focusing on others"
999,"Even though my life is supposedly successful, it feels meaningless. Como si todo fuera inútil, and all my accomplishments are mere vanities that can't fill the void in my heart.",depressive,1,5,2,1,1,1,,3,1,1,3,YES,4,The major theme or preoccupation of the utterance is a sense of meaninglessness and futility in life,"The affect expressed is depressive, as indicated by phrases such as ""it feels meaningless"" and ""can't fill the void in my heart""",The beliefs about self are that the individual's life is supposedly successful but lacks fulfillment,The beliefs about others are not explicitly mentioned in the given utterance,"The major defense mechanism used in this utterance is likely repression, as the individual may be repressing or denying their true feelings of emptiness and dissatisfaction"
1000,"Es difícil, explaining how a woman with my life, my accomplishments can still feel miserable. Being trapped inside my mind, it's a hell of its own, that not even my Psicología Ph.D. can fix.",depressive,1,5,2,1,1,1,4,3,1,1,2,YES,4,"The major theme or preoccupation of the utterance is ""feeling miserable despite accomplishments""","The affect expressed is depressive, as indicated by the mention of feeling trapped and the use of the word ""miserable""",The beliefs about self include feeling trapped inside one's mind and the belief that even a Ph,The beliefs about others are not explicitly mentioned in the utterance,The major defense mechanism used in this utterance is not specified
1001,"Whatever man, ain't no point to voicing my point of view, ain't nobody going to listen or even matter at that.",depressive,2,4,3,1,2,1,1,1,1,1,2,YES,4,The major theme or preoccupation of the utterance is a sense of hopelessness and futility,The affect expressed is a combination of sadness and frustration,The beliefs about self are that the individual's point of view is not valued or heard by others,The beliefs about others are that they are indifferent and uninterested,"The major defense mechanism used in this utterance is likely repression, as the individual seems to be suppressing their emotions and thoughts"
1002,"Seems to me, no matter how I fix these vintage cars, end of the day, it's futile. They're destined to break down just like me one day too.",depressive,2,5,2,1,2,1,1,2,1,1,3,YES,4,Major theme or preoccupation: Existential despair,Affect: Sadness and hopelessness,Beliefs about self: Feeling broken and destined for failure,Beliefs about others: Perceiving others as similarly flawed and destined for failure,Major defense mechanism: Repression
1003,"I see everybody's got their families and I'm here all on my own, going back to an empty apartment, no food cooking, no laughter, nothing... might as well be a lost soul.",depressive,2,5,3,2,1,1,,2,1,2,2,YES,4,The major theme or preoccupation of the utterance is a sense of loneliness and isolation,The affect expressed is sadness and despair,The beliefs about self are feelings of being alone and unimportant,The beliefs about others are that everyone else has a fulfilling life while the speaker does not,"The major defense mechanism used in this utterance is likely repression, as the speaker seems to be suppressing their emotions and not acknowledging their own needs"
1004,"Yeah, got a degree, but what for? Ain't done much good for me. Just a reminder of my inadequacies.",depressive,2,5,4,2,1,1,2,2,1,1,3,YES,4,The major theme or preoccupation of the utterance is a sense of inadequacy,The affect expressed is sadness or hopelessness,The belief about self is that the degree obtained has not brought any good,The belief about others is not explicitly mentioned in the utterance,"The major defense mechanism used in this utterance could be considered as intellectualization, as the individual is rationalizing their feelings of inadequacy by focusing on the lack of practical benefits from their degree"
1005,"Working under the hood of these classic cars, I just drown in the feelings of regret and failure. Even though I am good at it, it brings no satisfaction.",depressive,2,5,3,2,1,1,1,2,1,2,3,YES,4,"The major theme or preoccupation of the utterance is ""regret and failure""",The affect expressed is a sense of drowning in these feelings,"The belief about self is that the person is good at working under the hood of classic cars, but it brings no satisfaction",The belief about others is not explicitly mentioned in the utterance,"The major defense mechanism used in this utterance could be repression, as the person may be repressing or suppressing their true feelings of dissatisfaction"
1006,"I fear opening myself up to anyone, I believe they'll abandon me sooner than later, just like my wife did after our divorce.",depressive,2,3,4,3,,1,1,2,1,2,4,YES,4,The major theme or preoccupation of the utterance is fear of abandonment,The affect expressed is sadness and despair,The beliefs about self are feelings of unworthiness and a belief that opening up to others will lead to abandonment,The beliefs about others are that they will abandon the speaker,"The major defense mechanism used in this utterance is projection, as the speaker is projecting their fear of abandonment onto others"
1007,"I've practically lost any interest in these vintage rides or pretty much anything else, it all just seems pointless to me.",depressive,2,5,4,2,3,1,1,2,1,1,3,YES,4,The major theme or preoccupation of the utterance is a loss of interest and a sense of pointlessness,The affect expressed is a depressive mood,"The beliefs about self are negative, with a lack of interest and a sense of pointlessness",The beliefs about others are not explicitly mentioned in the utterance,The major defense mechanism is not evident in the given utterance
1008,"Can't seem to escape the shadow of self-criticism, I'm too hard on myself. No matter what I achieve, it never feels enough.",depressive,2,5,3,2,1,1,2,2,1,1,3,YES,4,The major theme or preoccupation of the utterance is self-criticism and feeling inadequate,The affect expressed is a sense of hopelessness and dissatisfaction,"The beliefs about self are that no matter what is achieved, it is never enough",The beliefs about others are not explicitly mentioned in the utterance,"The major defense mechanism used in this utterance could be repression, as the individual may be repressing their feelings of self-worth and constantly criticizing themselves"
1009,"Don't really see the point of enjoying life, it all just ends up disappointing you, ya know.",depressive,2,5,4,2,3,1,1,2,1,1,2,YES,4,The major theme or preoccupation of the utterance is a negative outlook on life and a lack of enjoyment,The affect expressed is a sense of disappointment,The belief about self is a feeling of not seeing the point in enjoying life,The belief about others is not explicitly mentioned in the utterance,"The major defense mechanism used in the utterance is likely repression, as the speaker seems to be suppressing any positive or hopeful thoughts"
1010,"It's like being in a constant state of depression is my norm, can't remember the last time I was genuinely happy.",depressive,2,5,2,1,1,1,1,1,1,1,2,YES,4,"Major theme or preoccupation: Depression The major theme or preoccupation of the utterance is depression, as the individual describes being in a constant state of depression as their norm. This aligns with the depressive personality.","Affect: Sadness The affect expressed in the utterance is sadness, as the individual mentions not being genuinely happy for a long time. This aligns with the depressive personality.","Beliefs about self: Worthlessness The individual does not explicitly mention beliefs about self in the given utterance. Therefore, it is not possible to assess this dimension based on the provided information.","Beliefs about others: Lack of support The individual does not mention beliefs about others in the given utterance. Therefore, it is not possible to assess this dimension based on the provided information.","Major defense mechanism: Repression The individual does not mention any defense mechanisms in the given utterance. Therefore, it is not possible to assess this dimension based on the provided information."
1011,"Sometimes it feels like every day is the same gray, dreary slog, you know? Working at this godforsaken store, it's like I'm just wasting away.",depressive,3,5,2,3,2,1,1,2,1,1,1,YES,4,The major theme or preoccupation of the utterance is a sense of monotony and hopelessness in daily life,The affect expressed is a feeling of sadness and frustration,The beliefs about self are that the person feels like they are wasting away and stuck in a dreary job,The beliefs about others are not explicitly mentioned in the utterance,"The major defense mechanism used in this utterance could be repression, as the person seems to be suppressing their emotions and expressing a sense of resignation"
1012,"Honestly, I can't remember the last time I genuinely enjoyed a videogame. It just doesn't seem to feel the same anymore...",depressive,3,4,2,1,3,1,1,2,1,1,2,YES,4,The major theme or preoccupation of the utterance is a lack of enjoyment in videogames,The affect expressed is a sense of sadness or disappointment,The belief about self is that the person is unable to genuinely enjoy videogames,The belief about others is not explicitly mentioned in the utterance,The major defense mechanism is not evident in the given utterance
1013,"I worry that no matter how hard I try, I'll never genuinely be happy. Like I'm somehow unworthy of it.",depressive,3,5,3,2,1,1,0,2,0,0,3,YES,4,The major theme or preoccupation of the utterance is a belief of unworthiness and a fear of never being genuinely happy,The affect expressed is worry and sadness,The belief about self is that the person feels unworthy of happiness,The belief about others is not explicitly mentioned in the utterance,"The major defense mechanism used in this utterance could be repression, as the person may be repressing their true emotions and putting on a facade of trying hard to be happy"
1014,"I used to love going out to our local Italian joint, but these days even the thought of it just makes me feel... empty.",depressive,3,5,2,1,3,1,,2,1,2,4,YES,4,"The major theme or preoccupation of the utterance is ""loss of enjoyment or pleasure in activities""","The affect expressed is ""emptiness""","The belief about self is ""lack of fulfillment or satisfaction""",The belief about others is not explicitly mentioned in the utterance,"The major defense mechanism used is ""isolation"""
1015,"I can’t shake the feeling that I've screwed up somehow, like I'm a huge disappointment to everyone around me. Even the simplest tasks at work are difficult for me now.",depressive,3,5,3,2,1,1,1,3,1,1,2,YES,4,The major theme or preoccupation of the utterance is a sense of personal failure and disappointment,The affect expressed is sadness and hopelessness,The beliefs about self are that the speaker is a disappointment to everyone around them,The beliefs about others are not explicitly mentioned in the utterance,"The major defense mechanism used in the utterance is likely repression, as the speaker may be repressing or denying any positive aspects of themselves or their situation"
1016,It's as if there's this dark cloud following me around all the time... I just can't seem to shake it off.,depressive,3,5,3,2,1,1,,2,1,2,3,YES,4,"The major theme or preoccupation of the utterance is ""persistent feelings of darkness and being followed by a cloud""",The affect expressed is a sense of hopelessness and inability to escape the cloud,The belief about self is that the person is unable to shake off the dark cloud,The belief about others is not explicitly mentioned in the utterance,"The major defense mechanism used in this utterance could be repression, as the person may be repressing or suppressing their emotions"
1017,"I should be proud of fixing a customer’s phone today, but I can't stop thinking about how they'll probably break it again and blame me.",depressive,3,4,3,2,2,3,1,3,1,1,2,YES,4,The major theme or preoccupation of the utterance is a negative anticipation of future events,The affect expressed is a sense of sadness or hopelessness,The belief about self is a lack of confidence or self-blame,The belief about others is a pessimistic view of their actions,"The major defense mechanism used in this utterance is projection, as the individual is attributing their own fear of being blamed onto others"
1018,"I can't seem to get excited about the new tech gadgets anymore. No matter how cutting-edge they are, everything just feels meaningless.",depressive,3,4,3,2,2,1,1,1,1,1,2,YES,4,The major theme or preoccupation of the utterance is a lack of excitement or interest in new technology gadgets,The affect expressed is a sense of meaninglessness,The belief about self is that the speaker is unable to feel excitement,The belief about others is not explicitly mentioned in the utterance,"The major defense mechanism used in the utterance is repression, as the speaker seems to be suppressing their emotions and not allowing themselves to feel excitement"
1019,"My Italian grandmother used to tell me ‘La vita è bella,’ but life doesn't feel beautiful to me. Just feels like a never-ending cycle of dread.",depressive,3,5,4,2,1,1,1,1,1,1,3,YES,4,"The major theme or preoccupation of the utterance is ""feelings of despair and lack of beauty in life""",The affect expressed is a sense of dread,The belief about self is a negative perception of oneself and life,The belief about others is not explicitly mentioned in the utterance,"The major defense mechanism used in the utterance is likely repression, as the speaker may be repressing or denying any positive aspects of life"
1020,"I keep thinking, is my life going to be like this forever? Living paycheck to paycheck, alone in my dingy apartment with no one to share my life with...",depressive,3,5,4,3,1,1,1,2,1,1,2,YES,4,The major theme or preoccupation of the utterance is the feeling of hopelessness and dissatisfaction with one's current life situation,The affect expressed is sadness and despair,"The beliefs about self are negative, with a sense of being stuck and lacking fulfillment",The beliefs about others are that there is no one to share life with,"The major defense mechanism used in this utterance is likely repression, as the individual may be suppressing or denying their true emotions and desires"
1021,"Every day, I move through this high-rise fortress of ours, surrounded by luxury and magnificent pieces of art. Yet the beauty around me feels like white noise, it's as though I'm living in a monochrome world.",depressive,4,5,3,2,2,1,4,3,1,1,2,YES,4,The major theme or preoccupation of the utterance is a sense of emptiness or lack of fulfillment in a seemingly luxurious and beautiful environment,The affect expressed is a feeling of detachment or disconnection from the beauty around,The beliefs about self are that the individual is living in a monochrome world and that the beauty feels like white noise,The beliefs about others are not explicitly mentioned in the utterance,"The major defense mechanism used in this utterance could be repression, as the individual may be repressing or denying their true emotions and experiences"
1022,"I am in the company of the city's top lawyers, and I can't help but believe I am nothing but an imposter. My successes feel as if they're fleeting and soon they'll lose their patience with me.",depressive,4,5,4,3,1,1,2,3,1,2,3,YES,4,"Major theme or preoccupation: Imposter syndrome The utterance expresses a preoccupation with feeling like an imposter among successful lawyers, which aligns with the major theme of imposter syndrome commonly associated with depressive personality.","Affect: Feelings of inadequacy and fleeting success The utterance conveys a sense of inadequacy and the belief that success is temporary, which aligns with the affective symptoms often seen in depressive personality.","Beliefs about self: Feeling like nothing but an imposter The utterance reflects a negative belief about oneself, specifically feeling like nothing but an imposter, which is consistent with the negative self-perception often seen in depressive personality.","Beliefs about others: Expectation of losing their patience The utterance implies a belief that others will lose their patience with the speaker, which aligns with the interpersonal difficulties often associated with depressive personality.","Major defense mechanism: None mentioned in the utterance The utterance does not explicitly mention any defense mechanisms, so it is difficult to assess the major defense mechanism at play."
1023,"Bright lights, high stakes, big city. People dream of this life, but I can't seem to find the joy in any of it. I am always bracing for an inevitable fall.",depressive,4,5,3,2,1,1,,1,1,2,3,YES,4,The major theme or preoccupation of the utterance is a sense of disillusionment and lack of joy in life,"The affect expressed is a feeling of bracing for an inevitable fall, which suggests a pessimistic outlook","The beliefs about self are that the person cannot find joy in the bright lights and high stakes of the big city, indicating a sense of personal dissatisfaction",The beliefs about others are not explicitly mentioned in the utterance,"The major defense mechanism used in the utterance is likely repression, as the person seems to be suppressing or denying their true feelings of depression"
1024,"My husband is there for me, loving and supportive, but I worry I am a burden. I live in fear that he will tire of my melancholy and discard me.",depressive,4,5,4,4,1,2,1,2,1,2,3,YES,4,The major theme or preoccupation of the utterance is the fear of being a burden and the worry that the husband will tire of the speaker's melancholy,The affect expressed in the utterance is sadness and worry,The beliefs about self include feeling like a burden and living in fear,The beliefs about others include the fear that the husband will discard the speaker,"The major defense mechanism used in the utterance is likely repression, as the speaker may be repressing their true emotions and putting on a facade of being okay"
1025,My accomplishments seem insignificant despite my Harvard degree and partnerships in one of the city's top law firms. All I feel is a constant sense of inferiority.,depressive,4,5,4,2,1,1,2,3,1,1,2,YES,4,The major theme or preoccupation of the utterance is a sense of inferiority,The affect expressed is depressive,The belief about self is that the accomplishments seem insignificant despite having a Harvard degree and partnerships in a top law firm,The belief about others is not explicitly mentioned in the utterance,"The major defense mechanism used in the utterance is likely repression, as the individual may be repressing feelings of success and focusing on feelings of inferiority"
1026,"The courtroom is a stage, and though I've won countless battles, I can't help but feel I am a failure of an actress and that all my victories are hollow.",depressive,4,5,3,2,2,1,4,3,1,3,2,YES,4,The major theme or preoccupation of the utterance is a sense of failure and hollowness in the midst of success,The affect expressed is sadness and self-doubt,The beliefs about self are that the speaker is a failure as an actress despite their victories,The beliefs about others are not explicitly mentioned in the utterance,"The major defense mechanism used in this utterance could be repression, as the speaker may be repressing their true feelings of success and instead focusing on their perceived failures"
1027,"Our penthouse overlooks Central Park, we have a house in the Hamptons. Yet these feel like gilded cages, not homes. Inside, I am desolate, so thoroughly alone.",depressive,4,5,3,2,2,1,3,2,0,2,3,YES,4,The major theme or preoccupation of the utterance is a sense of desolation and feeling thoroughly alone,"The affect expressed is depressive, as indicated by the description of feeling desolate","The beliefs about self are negative, as the speaker feels trapped in gilded cages and not at home",The beliefs about others are not explicitly mentioned in the utterance,"The major defense mechanism used in this utterance could be repression, as the speaker may be repressing their true emotions and putting on a facade of wealth and success"
1028,"I've argued for prestigious clients, won impossible cases, made a name for myself in this city that never sleeps. Yet, the applause does not bring me joy, it rings hollow and empty to me.",depressive,4,5,3,1,2,1,4,2,1,1,2,YES,4,The major theme or preoccupation of the utterance is a sense of emptiness and lack of fulfillment despite external achievements,The affect expressed is a lack of joy and hollowness,The beliefs about self are that the individual has achieved success but it does not bring them happiness,The beliefs about others are not explicitly mentioned in the utterance,"The major defense mechanism used in this utterance could be intellectualization, as the individual focuses on their achievements and rationalizes their lack of joy"
1029,"Sometimes, as I plan the future, investing in more art, I am plagued by the thought it's all pointless. The act of collecting art that once brought me joy, feels like a meaningless pursuit.",depressive,4,4,3,2,2,1,3,1,1,1,2,YES,4,The major theme or preoccupation of the utterance is a sense of meaninglessness or pointlessness in the act of collecting art,The affect expressed is a feeling of being plagued by negative thoughts,The belief about self is that the future planning and investment in art is pointless,The belief about others is not explicitly mentioned in the utterance,The major defense mechanism used in the utterance is not specified
1030,"Among the glittering socialites, I seem out of place. Behind the sparkling champagne and frequent laughter, I feel an unending sadness, a constant fear of being 'found out', rejected for my true self.",depressive,4,5,4,2,1,1,2,1,1,3,2,YES,4,The major theme or preoccupation of the utterance is a sense of feeling out of place and experiencing unending sadness,The affect expressed is one of constant fear and a fear of being rejected for one's true self,The beliefs about self are that the individual feels different from others and does not fit in with the socialites,The beliefs about others are that they may judge and reject the individual,"The major defense mechanism used in this utterance is likely repression, as the individual seems to be hiding their true self and emotions behind a facade of sparkling champagne and frequent laughter"
